Name↑↓,Rows↑↓,RowSize↑↓,DataSize↑↓,IndexSize↑↓,TotalSize↑↓,Comment↑↓
origins,282197146,106,28GB,70.5GB,98.5GB,
short_urls,71126824,184,12.2GB,63.6GB,75.8GB,
activities,198160450,86,16GB,43.8GB,59.8GB,
visitors,294826976,77,21.3GB,25.4GB,46.7GB,
offers,185239514,54,9.43GB,24.7GB,34.1GB,
people,90547714,71,6.04GB,17.7GB,23.8GB,
items,242974039,70,16GB,10.8GB,26.8GB,
custom_attributes,99996684,73,6.88GB,9.59GB,16.5GB,
coupons,46586265,75,3.28GB,8.68GB,12GB,
customer_emails,22722838,168,3.56GB,6.19GB,9.75GB,
split_test_impressions,65241033,52,3.22GB,4.46GB,7.67GB,
visitor_offers,19240278,118,2.12GB,3.7GB,5.83GB,
previous_customers,71739906,77,5.15GB,3.37GB,8.52GB,
incentive_outcomes,15203957,81,1.15GB,2.83GB,3.98GB,
offer_shares,10188696,104,1020MB,1.73GB,2.73GB,
visitor_user_agents,2663194,390,992MB,1.25GB,2.22GB,
checkout_coupons,67958498,35,2.25GB,988MB,3.22GB,
referrals,2571948,132,324MB,663MB,987MB,
custom_properties,12986663,60,750MB,429MB,1.15GB,
settings_changes,1302244,298,371MB,243MB,614MB,
ip_blocks,3100006,63,188MB,148MB,336MB,
share_emails,4908221,169,793MB,145MB,938MB,
metrics,774931,256,190MB,102MB,291MB,
view_commits,595047,19854,11GB,64.6MB,11.1GB,
products,1223050,275,322MB,58.7MB,381MB,
locale_entries,464566,245,109MB,37.6MB,146MB,
views,135952,10018,1.27GB,18.1MB,1.29GB,
incentives,39156,147,5.52MB,8.53MB,14MB,
view_setups,124363,80,9.52MB,5.03MB,14.5MB,
static_assets,50259,135,6.52MB,4.52MB,11MB,
fraud_policies,41398,89,3.52MB,3.52MB,7.03MB,
view_stylesheets,56180,9801,525MB,3.48MB,529MB,
view_presets,58910,330,18.5MB,3.47MB,22MB,
users,12684,538,6.52MB,3.3MB,9.81MB,
friendly_id_slugs,27990,94,2.52MB,2.42MB,4.94MB,
slugs,11754,135,1.52MB,1.72MB,3.23MB,
campaign_tags,26839,59,1.52MB,1.52MB,3.03MB,
campaign_placements,54545,86,4.52MB,1.52MB,6.03MB,
traffic_sources,17288,91,1.52MB,1.33MB,2.84MB,
sites,8793,180,1.52MB,1.25MB,2.77MB,
campaigns,19722,824,15.5MB,960KB,16.5MB,
accounts,10577,249,2.52MB,832KB,3.33MB,
event_categories,15815,100,1.52MB,688KB,2.19MB,
split_test_variants,3526,450,1.52MB,592KB,2.09MB,
campaigns_split_test_variants,7498,48,352KB,416KB,768KB,
sharing_channels,9601,51,480KB,352KB,832KB,
coupon_lists,2150,91,192KB,160KB,352KB,
split_tests,1296,88,112KB,80KB,192KB,
custom_property_keys,963,102,96KB,64KB,160KB,
web_hooks,177,277,48KB,16KB,64KB,
report_bookmarks_metrics,962,68,64KB,16KB,80KB,
report_bookmarks,110,744,80KB,16KB,96KB,
page_snapshots,701,186,128KB,16KB,144KB,
offer_blasts,365,179,64KB,16KB,80KB,
schema_migrations,843,77,64KB,0Bytes,64KB,
locale_entries_split_test_variants,5068,42,208KB,0Bytes,208KB,
ip_locations,95323,49,4.52MB,0Bytes,4.52MB,

